Price,Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared
9600.0,2021,Kia,Sportage,16947.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
7200.0,2019,Kia,Sportage,18341.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
8600.0,2020,Kia,Sportage,18347.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
8700.0,2020,Kia,Sportage,18347.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
8700.0,2020,Kia,Sportage,18472.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
7700.0,2012,Ford,Focus,204000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված է
11650.0,2017,Nissan,Rogue,52000.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված է
9450.0,2018,Ford,Focus,24000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված է
9350.0,2016,Kia,Optima,73000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված է
11650.0,2017,Nissan,Rogue,52000.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված է
9450.0,2018,Ford,Focus,24000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված է
11750.0,2016,Kia,Optima,73000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված է
15000.0,2007,Mercedes-Benz,S 500,202000.0, Սեդան, Ավտոմատ, Ձախ, Գազ, Սև,Մաքսազերծված է
33000.0,2018,Toyota,Camry,45000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված է
32000.0,2014,Mercedes-Benz,ML 350,110000.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված է
10800.0,2018,Chevrolet,Cruze,29000.0, Հետչբեք, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված է
16900.0,2013,BMW,328,144000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված է
31200.0,2019,Toyota,Camry,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված է
3100.0,2016,Kia,Optima,25471.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
4700.0,2019,Kia,Optima,19357.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
3300.0,2016,Kia,Optima,23721.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
6100.0,2019,Kia,Sorento,19976.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
10700.0,2015,Chevrolet,Cruze,97681.82352941176, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված է
